from,to,day_of_week,count
2585838,2585868,Friday,72
2585905,2585899,Friday,72
2585937,2585928,Friday,72
2585963,2585985,Friday,72
2585978,2585748,Friday,72
2585978,2586034,Friday,72
2585983,2585995,Friday,72
2586028,2585992,Friday,72
2586037,2585344,Friday,72
2681601,2585284,Friday,72
2585259,2585267,Friday,71
2585263,2585446,Friday,71
2585283,2585281,Friday,71
2585283,3470029,Friday,71
2585368,2585712,Friday,71
2585379,2585430,Friday,71
2585466,2585996,Friday,71
2585472,2585469,Friday,71
2585476,2585934,Friday,71
2585835,2585838,Friday,71
2585899,2585916,Friday,71
2585913,2585904,Friday,71
2585916,2585899,Friday,71
2585951,2585942,Friday,71
2585956,2585960,Friday,71
2586042,2585344,Friday,71
2585281,2585283,Friday,70
2585297,2681601,Friday,70
2585299,2585345,Friday,70
2585299,44581598,Friday,70
2585396,2585317,Friday,70
2585476,2585936,Friday,70
2585762,2585368,Friday,70
2585821,2585770,Friday,70
2585850,172293631,Friday,70
2585928,2585452,Friday,70
2585942,2585938,Friday,70
2585956,2681601,Friday,70
2585983,2585929,Friday,70
2585995,2586031,Friday,70
2586019,2586011,Friday,70
2586021,2586028,Friday,70
3470029,2585263,Friday,70
4393742,2585425,Friday,70
2585267,2585271,Friday,69
2585267,2585817,Friday,69
2585285,2585286,Friday,69
2585291,2585288,Friday,69
2585301,2585345,Friday,69
2585340,2585311,Friday,69
2585351,2585346,Friday,69
2585380,2585919,Friday,69
2585457,2585398,Friday,69
2585466,2585951,Friday,69
2585785,2585782,Friday,69
2585814,2585809,Friday,69
2585824,2585762,Friday,69
2585905,2585902,Friday,69
2585978,2586037,Friday,69
2585983,2585960,Friday,69
2586000,4393742,Friday,69
2586009,2586005,Friday,69
2586022,2586037,Friday,69
2586026,2586034,Friday,69
2681601,2585367,Friday,69
4215025,2585431,Friday,69
172293631,2585839,Friday,69
2585267,2585283,Friday,68
2585301,2585931,Friday,68
2585323,2585311,Friday,68
2585368,2585762,Friday,68
2585387,2585360,Friday,68
2585425,2585419,Friday,68
2585430,2585431,Friday,68
2585453,2585457,Friday,68
2585714,2585368,Friday,68
2585714,2585749,Friday,68
